productName,productUrl,packSize,productRating,numberOfRating,actualPrice,discountPercent,offerPrice
Sensodyne Repair & Protect Toothpaste,https://www.1mg.com/otc/sensodyne-repair-protect-toothpaste-otc370656,tube of 100 gm Toothpaste,4.5,514 ratings,₹210,10% off,₹189
Protinex Health and Nutritional Drink Tasty Chocolate,https://www.1mg.com/otc/protinex-health-and-nutritional-drink-tasty-chocolate-otc345049,Tin of 400 gm Powder,4.3,303 ratings,₹560,11% off,₹498
1mg Shilajit Pure Natural Extract 500mg Capsule,https://www.1mg.com/otc/1mg-shilajit-pure-natural-extract-500mg-capsule-otc465556,bottle of 60 capsules,3.4,339 ratings,₹695,57% off,₹298
Volini Spray,https://www.1mg.com/otc/volini-spray-otc91052,bottle of 100 gm Spray,4.5,960 ratings,₹320,15% off,₹272
"Veet Women Hair Removal Cream, Buy 2 Get 1 Free (100gm Each) Normal Skin",https://www.1mg.com/otc/veet-women-hair-removal-cream-buy-2-get-1-free-100gm-each-normal-skin-otc536712,combo pack of 3 Tubes,4.9,36 ratings,₹470,7% off,₹437
Durex Extra Time Condom,https://www.1mg.com/otc/durex-extra-time-condom-otc477290,packet of 10 condoms,4.2,322 ratings,₹228,20% off,₹182
Zandu Balm,https://www.1mg.com/otc/zandu-balm-otc500889,bottle of 25 ml Balm,4.6,133 ratings,₹85,22% off,₹66
Boroline Cream,https://www.1mg.com/otc/boroline-cream-otc173696,jar of 40 gm Cream,4.7,994 ratings,₹75,6% off,₹70
Softovac Bowel Regulator Powder,https://www.1mg.com/otc/softovac-bowel-regulator-powder-otc493090,jar of 250 gm Powder,4.3,323 ratings,₹380,13% off,₹331
Scalpe Pro Anti Dandruff Shampoo,https://www.1mg.com/otc/scalpe-pro-anti-dandruff-shampoo-otc546905,bottle of 100 ml Shampoo,4.1,196 ratings,₹185,35% off,₹120
Moov Pain Relief Cream,https://www.1mg.com/otc/moov-pain-relief-cream-otc298649,tube of 50 gm Cream,4.5,795 ratings,₹179,15% off,₹152
Lifree Extra Absorb Pants Super Large,https://www.1mg.com/otc/lifree-extra-absorb-pants-super-large-otc525383,packet of 10 diapers,4.4,120 ratings,₹490,30% off,₹343
Dignity Magna Adult Diaper Large,https://www.1mg.com/otc/dignity-magna-adult-diaper-large-otc488321,packet of 10 diapers,4.2,396 ratings,₹520,29% off,₹370
Brufen Power Pain Relief 800 Sprays,https://www.1mg.com/otc/brufen-power-pain-relief-800-sprays-otc614506,bottle of 40 gm Spray,4.2,46 ratings,₹150,12% off,₹132
VWash Plus Expert Intimate Hygiene,https://www.1mg.com/otc/vwash-plus-expert-intimate-hygiene-otc236143,bottle of 100 ml Liquid,4.4,732 ratings,₹180,2% off,₹176
Mamaearth Onion Shampoo,https://www.1mg.com/otc/mamaearth-onion-shampoo-otc550078,pump bottle of 250 ml Shampoo,3.8,94 ratings,₹349,25% off,₹262
Threptin Lite High-Protein Supplement Diskette,https://www.1mg.com/otc/threptin-lite-high-protein-supplement-diskette-otc332126,Tin of 275 gm Diskette,4.4,198 ratings,₹452,9% off,₹410
