offer_code,sku,brand,name,price,sale_price,url,product_rating,is_bestseller
b6aaabfe51c1b20d,N36557119A,Generic,3-Piece Resistance Bands With Door Anchor And Carrying Bag Set ,41.0,,3-piece-resistance-bands-with-door-anchor-and-carrying-bag-set,,False
c7420d3b88122c0e,N43426427A,Generic,Portable Radio Pouch Interphone Case Multi-Functional 16x10x3cm ,127.95,,portable-radio-pouch-interphone-case-multi-functional-16x10x3cm,,False
d082906c7b19586d,N34152875A,Generic,Back Massage Exercise Yoga Foam Roller 33 x 14centimeter ,77.0,51.0,back-massage-exercise-yoga-foam-roller-33-x-14centimeter,,False
f7344ccae319681d,N49400658A,Generic,Modal Flared Bottom Yoga Pants S Size ,90.75,,modal-flared-bottom-yoga-pants-s-size,,False
b416330ac35505dd,N43426088A,Generic,Gym Sack Drawstring Backpack 43x33x1cm ,76.4,61.1,gym-sack-drawstring-backpack-43x33x1cm,,False
b40e4db4f957af1a,N29983391A,Generic,Stability Disc Balance Yoga Pad ,87.5,,stability-disc-balance-yoga-pad,,False
ddfc6671ae10bbcd,N43426797A,Generic,4 Piece Fishing Rod Pod Connector 7x6x1.6cm ,78.0,,4-piece-fishing-rod-pod-connector-7x6x1-6cm,,False
cf0c2d682df0bafe,N43426874A,Generic,Ankle Stabilizer Brace Support 30x20x2cm ,65.0,,ankle-stabilizer-brace-support-30x20x2cm,,False
ed3e11ba2fc4c1fd,N44711300A,Generic,Exercise Fitness Aerobic Ball for GYM Yoga Pilates Pregnancy Birthing Swiss 65cm ,35.0,,exercise-fitness-aerobic-ball-for-gym-yoga-pilates-pregnancy-birthing-swiss-65cm,,False
e0a1c3b2ea77676a,N42327401A,Generic,5/10/15/20/25/30kg Filling Weight Strength Training Fitness Exercise Sandbag 68x23x23cm ,202.4,,5-10-15-20-25-30kg-filling-weight-strength-training-fitness-exercise-sandbag-68x23x23cm,,False
d6237d8de259846f,N49105180A,Generic,High Waist Yoga Leggings ,105.9,,high-waist-yoga-leggings,,False
eb16656ed11e1b2f,N29732535A,Generic,Circle Yoga Stretch Ring ,41.0,,circle-yoga-stretch-ring,,False
aed1e8e33086075b,N36225084A,Generic,Yoga Daisy Non Elastic Stretching Band ,103.0,,yoga-daisy-non-elastic-stretching-band,,False
a135e6fa27f32e8f,N37816354A,Generic,Yoga Circle Stretch Line Ring 23.5x13.5x8centimeter ,69.0,,yoga-circle-stretch-line-ring-23-5x13-5x8centimeter,"{'value': 5, 'count': 1}",False
